Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000964;CHICCO CHAMPU MANZANILLA 200 ML;1001;3000;CS;722,00;422658,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000965;CHICCO LOCION 200 ML;1001;3000;CS;262,00;134772,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000968;CHICCO JABON LIQUIDO 200 ML;1000;3000;CS;350,00;208880,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000968;CHICCO JABON LIQUIDO 200 ML;1001;3000;CS;410,00;244688,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000969;CHICCO TALCO 200 G;1000;3000;CS;60,17;80243,08;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000969;CHICCO TALCO 200 G;1001;3000;CS;448,00;597488,64;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000970;CHICCO COLONIA 220 ML;1000;3000;CS;1528,00;847123,20;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000970;CHICCO COLONIA 220 ML;1001;3000;CS;1512,00;838252,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000971;CHICCO ACEITE 220 ML;1001;3000;CS;415,00;251448,50;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000974;CHICCO TH ORIGINAL 72P;1000;3000;CS;0,00;0,00;0,000;0,00;0,583;472,78;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000974;CHICCO TH ORIGINAL 72P;1001;3000;CS;75,00;60786,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000975;CHICCO TH ORIGINAL 48P;1000;3000;CS;0,00;0,00;0,000;0,00;1,200;608,40;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000975;CHICCO TH ORIGINAL 48P;1001;3000;CS;19,00;9633,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
