Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50000970;CHICCO COLONIA 220 ML;1001;3000;CS;1512,00;754889,22;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000971;CHICCO ACEITE 220 ML;1001;3000;CS;415,00;209524,71;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000974;CHICCO TH ORIGINAL 72P;1000;3000;CS;0,00;0,00;0,000;0,00;0,583;575,51;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000974;CHICCO TH ORIGINAL 72P;1001;3000;CS;75,00;65686,74;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000975;CHICCO TH ORIGINAL 48P;1000;3000;CS;0,00;0,00;0,000;0,00;1,200;724,79;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000975;CHICCO TH ORIGINAL 48P;1001;3000;CS;19,00;11234,18;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000976;CHICCO TH ORIGINAL 24UN;1000;3000;CS;0,00;0,00;0,000;0,00;0,850;565,38;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50000981;SIEMPRE SECO PROTECTOR DE CAMA HB (4X20);1001;3000;PAK;171,00;108995,46;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Siempre Seco;PH-Protector de Cama;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000986;CHICCO CHAMPU ROMERO 200 ML;1001;3000;CS;408,00;298803,12;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50000990;CHICCO PAÑAL DE NIÑO M REG (8X20);1001;3000;PAK;88,00;50317,17;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000992;CHICCO PAÑAL DE NIÑO G REG (8X20);1001;3000;PAK;35,00;25598,37;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50000993;CHICCO PAÑAL DE NIÑO XG REG (8X20);1001;3000;PAK;163,00;158127,41;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES NIÑOS;Chicco;PH-Pañal Anatóm. T3;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
